,name,hp,hp formula,hp special,ac,ac special,cr,str,dex,con,int,wis,cha,str save,dex save,con save,int save,wis save,cha save,walk,fly,swim,burrow,climb,hover,size,alignment,type,source
1516,Sibriex,150,12d12 + 72,-,19,-,18,10,3,23,25,24,25,-,-,-,+13,-,+13,0,20,-,-,-,True,H,CE,fiend,MPMM
1517,Skulk,18,4d8,-,14,-,1/2,6,19,10,10,7,1,-,-,+2,-,-,-,30,-,-,-,-,-,M,CN,monstrosity,MPMM
1518,Skull Lord,112,15d8 + 45,-,18,-,15,14,16,17,16,15,21,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,undead,MPMM
1519,Slithering Tracker,39,6d8 + 12,-,14,-,3,16,19,15,10,14,11,-,-,-,-,-,-,30,-,30,-,30,-,M,CE,ooze,MPMM
1520,Spawn of Kyuss,76,9d8 + 36,-,10,-,5,16,11,18,5,7,3,-,-,-,-,+1,-,30,-,-,-,-,-,M,CE,undead,MPMM
1521,Spirit Troll,130,20d10 + 20,-,17,-,11,1,17,13,8,9,16,-,-,-,-,-,-,30,-,-,-,-,-,L,CE,giant,MPMM
1522,Spring Eladrin,165,22d8 + 66,-,19,-,10,14,16,16,18,11,18,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,fey,MPMM
1523,Star Spawn Grue,17,5d6,-,11,-,1/4,6,13,10,9,11,6,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,aberration,MPMM
1524,Star Spawn Hulk,136,13d10 + 65,-,16,-,10,20,8,21,7,12,9,-,+3,-,-,+5,-,30,-,-,-,-,-,L,CE,aberration,MPMM
1525,Star Spawn Larva Mage,168,16d8 + 96,-,16,-,16,17,12,23,18,12,16,-,+6,-,-,+6,+8,30,-,-,-,-,-,M,CE,aberration,MPMM
1526,Star Spawn Mangler,71,13d8 + 13,-,14,-,5,8,18,12,11,12,7,-,+7,+4,-,-,-,40,-,-,-,40,-,M,CE,aberration,MPMM
1527,Star Spawn Seer,153,18d8 + 72,-,17,-,13,14,12,18,22,19,16,-,+6,-,+11,+9,+8,30,-,-,-,-,-,M,NE,aberration,MPMM
1528,Steel Predator,207,18d10 + 108,-,20,-,16,24,17,22,4,14,6,-,-,-,-,-,-,40,-,-,-,-,-,L,LN,construct,MPMM
1529,Stegosaurus,76,8d12 + 24,-,13,-,4,20,9,17,2,11,5,-,-,-,-,-,-,40,-,-,-,-,-,H,U,beast,MPMM
1530,Stench Kow,15,2d10 + 4,-,10,-,1/2,18,10,14,2,10,4,-,-,-,-,-,-,30,-,-,-,-,-,L,U,fiend,MPMM
1531,Stone Cursed,19,3d8 + 6,-,17,-,1,16,5,14,5,8,7,-,-,-,-,-,-,10,-,-,-,-,-,M,LE,construct,MPMM
1532,Stone Giant Dreamwalker,161,14d12 + 70,-,18,-,10,23,14,21,10,8,12,-,+6,+9,-,+3,-,40,-,-,-,-,-,H,CN,giant,MPMM
1533,Storm Giant Quintessent,230,20d12 + 100,-,12,-,16,29,14,20,17,20,19,+14,-,+10,-,+10,+9,50,50,50,-,-,True,H,CG,giant,MPMM
1534,Summer Eladrin,165,22d8 + 66,-,19,-,10,19,21,16,14,12,18,-,-,-,-,-,-,50,-,-,-,-,-,M,CN,fey,MPMM
1535,Swarm of Cranium Rats,76,17d8,-,12,-,5,9,14,10,15,11,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,aberration,MPMM
1536,Swarm of Rot Grubs,22,5d8,-,8,-,1/2,2,7,10,1,2,1,-,-,-,-,-,-,5,-,-,-,5,-,M,U,beast,MPMM
1537,Swashbuckler,66,12d8 + 12,-,17,-,3,12,18,12,14,11,15,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,MPMM
1538,Sword Wraith Commander,127,15d8 + 60,-,18,-,8,18,14,18,11,12,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,undead,MPMM
1539,Sword Wraith Warrior,45,6d8 + 18,-,16,-,3,18,12,17,6,9,10,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,undead,MPMM
1540,Tanarukk,95,10d8 + 50,-,14,-,5,18,13,20,9,9,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fiend,MPMM
1541,Thorny Vegepygmy,27,5d8 + 5,-,14,-,1,13,12,13,2,10,6,-,-,-,-,-,-,30,-,-,-,-,-,M,N,plant,MPMM
1542,Titivilus,150,20d8 + 60,-,20,-,16,19,22,17,24,22,26,-,+11,+8,-,+11,+13,40,60,-,-,-,-,M,LE,fiend,MPMM
1543,Tlincalli,85,10d10 + 30,-,15,-,5,16,13,16,8,12,8,-,-,-,-,-,-,40,-,-,-,-,-,L,N,monstrosity,MPMM
1544,Tortle,22,4d8 + 4,-,17,-,1/4,15,10,12,11,13,12,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,MPMM
1545,Tortle Druid,33,6d8 + 6,-,17,-,2,14,10,12,11,15,12,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,MPMM
1546,Transmuter Wizard,49,11d8,-,12,-,5,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,MPMM
1547,Trapper,68,8d10 + 24,-,13,-,3,17,10,17,2,13,4,-,-,-,-,-,-,20,-,-,-,20,-,L,U,monstrosity,MPMM
1548,Ulitharid,127,17d10 + 14,-,15,-,9,15,12,15,21,19,21,-,-,-,+9,+8,+9,30,-,-,-,-,-,L,LE,aberration,MPMM
1549,Vampiric Mist,30,4d8 + 12,-,13,-,3,6,16,16,6,12,7,-,-,-,-,+3,-,0,30,-,-,-,True,M,CE,undead,MPMM
1550,Vargouille,18,4d4 + 8,-,12,-,1,6,14,14,4,7,2,-,-,-,-,-,-,5,40,-,-,-,-,T,CE,fiend,MPMM
1551,Vegepygmy,13,3d6 + 3,-,13,-,1/4,7,14,13,6,11,7,-,-,-,-,-,-,30,-,-,-,-,-,S,N,plant,MPMM
1552,Vegepygmy Chief,33,6d6 + 12,-,14,-,2,14,14,14,7,12,9,-,-,-,-,-,-,30,-,-,-,-,-,S,N,plant,MPMM
1553,Velociraptor,10,3d4 + 3,-,13,-,1/4,6,14,13,4,12,6,-,-,-,-,-,-,30,-,-,-,-,-,T,U,beast,MPMM
1554,Venom Troll,94,9d10 + 45,-,15,-,7,18,13,20,7,9,7,-,-,-,-,-,-,30,-,-,-,-,-,L,CE,giant,MPMM
1555,War Priest,117,18d8 + 36,-,18,-,9,16,10,14,11,17,13,-,-,+6,-,+7,-,30,-,-,-,-,-,M,A,humanoid,MPMM
1556,Warlock of the Archfey,67,15d8,-,13,-,4,9,16,11,11,12,18,-,-,-,-,+3,+6,30,-,-,-,-,-,M,A,humanoid,MPMM
1557,Warlock of the Fiend,78,12d8 + 24,-,13,-,7,10,16,15,12,12,18,-,-,-,-,+4,+7,30,-,-,-,-,-,M,A,humanoid,MPMM
1558,Warlock of the Great Old One,91,14d8 + 28,-,13,-,6,9,16,15,12,12,18,-,-,-,-,+4,+7,30,-,-,-,-,-,M,A,humanoid,MPMM
1559,Warlord,229,27d8 + 108,-,18,-,12,20,16,18,12,12,18,+9,+7,+8,-,-,-,30,-,-,-,-,-,M,A,humanoid,MPMM
1560,Wastrilith,157,15d10 + 75,-,18,-,13,19,18,21,19,12,14,+9,-,+10,-,-,-,30,-,80,-,-,-,L,CE,fiend,MPMM
1561,Water Elemental Myrmidon,127,17d8 + 51,-,18,-,7,18,14,15,8,10,10,-,-,-,-,-,-,40,-,40,-,-,-,M,N,elemental,MPMM
1562,White Abishai,68,8d8 + 32,-,15,-,6,16,11,18,11,12,13,+6,-,+7,-,-,-,30,40,-,-,-,-,M,LE,fiend,MPMM
1563,Winter Eladrin,165,22d8 + 66,-,19,-,10,11,16,16,18,17,13,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,fey,MPMM
1564,Wood Woad,75,10d8 + 30,-,18,-,5,18,12,16,10,13,8,-,-,-,-,-,-,30,-,-,-,30,-,M,LN,plant,MPMM
1565,Wretched Sorrowsworn,10,4d6 - 4,-,15,-,1/4,7,12,9,5,6,5,-,-,-,-,-,-,40,-,-,-,-,-,S,NE,monstrosity,MPMM
1566,Xvart,7,2d6,-,13,-,1/8,8,14,10,8,7,7,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,monstrosity,MPMM
1567,Xvart Warlock of Raxivort,22,5d6 + 5,-,12,-,1,8,14,12,8,11,12,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,monstrosity,MPMM
1568,Yagnoloth,147,14d10 + 70,-,17,-,11,19,14,21,16,15,18,-,+6,-,+7,+6,+8,40,-,-,-,-,-,L,NE,fiend,MPMM
1569,Yeenoghu,333,23d12 + 184,-,20,-,-,29,16,23,15,24,15,-,+10,+15,-,+14,-,50,-,-,-,-,-,H,CE,fiend,MPMM
1570,Yeth Hound,51,6d10 + 18,-,14,-,4,18,17,16,5,12,7,-,-,-,-,-,-,40,40,-,-,-,True,L,NE,fey,MPMM
1571,Young Kruthik,9,2d6 + 2,-,16,-,1/8,13,16,13,4,10,6,-,-,-,-,-,-,30,-,-,10,30,-,S,U,monstrosity,MPMM
1572,Yuan-ti Anathema,189,18d12 + 72,-,16,-,12,23,13,19,19,17,20,-,-,-,-,-,-,40,-,40,-,40,-,H,NE,monstrosity,MPMM
1573,Yuan-ti Broodguard,45,7d8 + 14,-,14,-,2,15,14,14,6,11,4,+4,+4,-,-,+2,-,30,-,-,-,-,-,M,NE,monstrosity,MPMM
1574,Yuan-ti Mind Whisperer,71,13d8 + 13,-,14,-,4,16,14,13,14,14,16,-,-,-,-,+4,+5,30,-,-,-,-,-,M,NE,monstrosity,MPMM
1575,Yuan-ti Nightmare Speaker,71,13d8 + 13,-,14,-,4,16,14,13,14,12,16,-,-,-,-,+3,+5,30,-,-,-,-,-,M,NE,monstrosity,MPMM
1576,Yuan-ti Pit Master,88,16d8 + 16,-,14,-,5,16,14,13,14,12,16,-,-,-,-,+4,+6,30,-,-,-,-,-,M,NE,monstrosity,MPMM
1577,Zaratan,307,15d20 + 150,-,21,-,22,30,10,30,2,21,18,-,-,-,-,+12,+11,40,-,40,-,-,-,G,N,elemental,MPMM
1578,Zariel,420,29d10 + 261,-,21,-,26,27,24,28,26,27,30,-,-,-,+16,+16,+18,50,150,-,-,-,-,L,LE,fiend,MPMM
1579,Zuggtmoy,304,32d10 + 128,-,18,-,23,22,15,18,20,19,24,-,+9,+11,-,+11,-,30,-,-,-,-,-,L,CE,fiend,MPMM
1580,Abhorrent Overlord,136,16d10 + 48,-,16,-,9,20,18,16,15,14,16,-,-,+7,-,-,+7,30,60,-,-,-,-,L,LE,fiend,MOT
1581,Akroan Hoplite,52,8d8 + 16,-,18,-,3,16,16,14,11,14,13,+5,+5,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,MOT
1582,Alseid,22,4d8 + 4,-,15,-,1,15,10,12,13,14,18,-,-,-,-,-,-,30,-,-,-,-,-,M,CG,fey,MOT
1583,Anvilwrought Raptor,18,4d4 + 8,-,14,-,1/2,12,16,14,3,14,1,-,-,-,-,-,-,10,60,-,-,-,-,T,U,construct,MOT
1584,Aphemia,52,8d8 + 16,-,15,-,5,13,16,15,13,14,16,-,+6,-,-,-,+6,20,50,-,-,-,-,M,CE,monstrosity,MOT
1585,Arasta,300,24d12 + 144,-,19,-,21,24,16,23,15,22,17,-,+10,+13,-,+13,-,40,-,-,-,40,-,H,NE,monstrosity,MOT
1586,Archon of Falling Stars,144,17d8 + 68,-,18,-,12,20,15,19,15,21,19,+9,-,+8,-,+9,+8,30,-,-,-,-,-,M,LG,celestial,MOT
1587,Ashen Rider,178,21d8 + 84,-,18,-,16,20,16,19,15,21,18,+10,-,+9,-,+10,+9,30,-,-,-,-,-,M,LE,celestial,MOT
1588,Blood-Toll Harpy,9,2d8,-,11,-,1/8,12,13,10,6,11,13,-,-,-,-,-,-,20,40,-,-,-,-,M,CE,monstrosity,MOT
1589,Broken King Antigonos,38,9d10 + 27,-,14,-,3,18,11,16,6,16,9,-,-,-,-,-,-,40,-,-,-,-,-,L,CE,monstrosity,MOT
1590,Bronze Sable,32,5d8 + 10,-,15,-,1,13,16,15,3,14,1,-,-,-,-,-,-,30,-,-,-,30,-,M,U,construct,MOT
1591,Burnished Hart,45,6d8 + 18,-,14,-,2,17,14,16,3,15,1,-,-,-,-,-,-,50,-,-,-,-,-,M,U,construct,MOT
1592,Colossus of Akros,350,20d20 + 140,-,21,-,23,28,10,25,3,11,1,+16,-,+14,-,-,-,60,-,-,-,-,-,G,U,construct,MOT
1593,Doomwake Giant,162,13d12 + 78,-,15,-,11,24,12,22,12,14,16,-,-,+10,-,+6,-,40,-,-,-,-,-,H,LE,giant,MOT
1594,Eater of Hope,90,12d10 + 24,-,17,-,6,19,17,14,12,11,16,-,-,+5,-,-,+6,30,60,-,-,-,-,L,LE,fiend,MOT
1595,Fleecemane Lion,45,6d10 + 12,-,15,-,3,19,16,14,6,14,10,+6,-,+4,-,-,-,50,-,-,-,-,-,L,U,monstrosity,MOT
1596,Flitterstep Eidolon,44,8d8 + 8,-,14,-,3,8,18,13,11,12,10,-,-,-,-,-,-,40,-,-,-,-,-,M,A,undead,MOT
1597,Ghostblade Eidolon,55,10d8 + 10,-,12,-,5,16,15,12,13,12,14,-,-,-,-,-,-,30,-,-,-,-,-,M,A,undead,MOT
1598,Gold-Forged Sentinel,76,8d10 + 32,-,16,-,5,18,13,19,3,16,10,-,-,-,-,-,-,40,60,-,-,-,-,L,U,construct,MOT
1599,Hippocamp,22,4d10,-,13,-,1/2,14,15,11,5,10,6,-,-,-,-,-,-,20,-,50,-,-,-,L,CG,monstrosity,MOT
1600,Hundred-Handed One,243,18d12 + 126,-,15,-,15,26,15,25,14,16,16,-,-,+12,-,+8,-,40,-,-,-,-,-,H,LN,giant,MOT
1601,Hythonia,199,21d10 + 84,-,17,-,17,21,17,19,14,16,18,+11,-,+10,-,-,+10,40,-,40,-,40,-,L,LE,monstrosity,MOT
1602,Ironscale Hydra,181,11d20 + 66,-,17,-,12,22,10,22,2,10,7,-,-,-,-,-,-,40,-,40,-,-,-,G,U,monstrosity,MOT
1603,Lampad,52,8d8 + 16,-,15,-,3,12,13,14,11,12,18,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,fey,MOT
1604,Leonin Iconoclast,67,9d8 + 27,-,17,-,5,14,18,16,13,17,10,-,+7,-,-,+6,-,40,-,-,-,-,-,M,A,humanoid,MOT
1605,Medusa,127,17d8 + 51,-,15,-,6,10,15,16,12,13,15,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,monstrosity,MOT
1606,Meletian Hoplite,49,9d8 + 9,-,18,-,3,16,14,12,16,13,11,-,+4,-,+5,-,-,30,-,-,-,-,-,M,A,humanoid,MOT
1607,Naiad,31,7d8,-,15,-,2,10,16,11,15,10,18,-,-,-,-,-,-,30,-,30,-,-,-,M,CN,fey,MOT
1608,Nightmare Shepherd,133,14d10 + 56,-,18,-,11,19,15,18,14,17,20,-,-,+8,-,+7,-,30,60,-,-,-,-,L,LE,fiend,MOT
1609,Nyx-Fleece Ram,27,5d8 + 5,-,14,-,1,16,14,12,3,13,10,-,-,-,-,-,-,40,-,-,-,-,-,M,U,monstrosity,MOT
1610,Oracle,44,8d8 + 8,-,15,-,4,10,14,12,13,16,15,-,-,-,-,+5,+4,30,-,-,-,-,-,M,A,humanoid,MOT
1611,Oread,49,9d8 + 9,-,16,-,4,14,14,12,11,13,18,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fey,MOT
1612,Phylaskia,104,11d10 + 44,-,18,-,9,20,15,18,10,16,14,-,-,+8,-,+7,-,40,-,-,-,-,-,L,LN,undead,MOT
1613,Polukranos,232,15d20 + 75,-,17,-,19,25,15,21,4,14,10,-,-,-,-,-,-,50,-,50,-,-,-,G,U,monstrosity,MOT
1614,Returned Drifter,11,2d8 + 2,-,13,-,1/4,14,15,12,10,12,11,-,-,-,-,-,-,30,-,-,-,-,-,M,LN,undead,MOT
1615,Returned Kakomantis,65,10d8 + 20,-,15,-,4,10,17,14,13,12,15,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,undead,MOT
1616,Returned Palamnite,65,10d8 + 20,-,15,-,4,10,17,14,13,12,15,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,undead,MOT
1617,Returned Sentry,22,4d8 + 4,-,15,-,1,16,15,12,10,12,11,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,undead,MOT
1618,Satyr Reveler,33,6d8 + 6,-,13,-,1,12,16,13,12,10,16,-,-,-,-,-,-,40,-,-,-,-,-,M,CN,fey,MOT
1619,Satyr Thornbearer,38,7d8 + 7,-,15,-,2,12,18,12,11,13,14,-,-,-,-,-,-,40,-,-,-,-,-,M,CN,fey,MOT
1620,Setessan Hoplite,58,9d8 + 18,-,16,-,4,14,16,14,13,16,11,-,+5,-,-,+5,-,30,-,-,-,-,-,M,A,humanoid,MOT
1621,Theran Chimera,95,10d10 + 40,-,15,-,7,18,13,19,3,14,10,-,-,+7,-,+5,-,30,60,-,-,-,-,L,U,monstrosity,MOT
1622,Triton Master of Waves,105,14d8 + 42,-,15,-,8,16,11,16,10,12,19,-,+3,-,+3,-,+7,30,-,30,-,-,-,M,N,humanoid,MOT
1623,Triton Shorestalker,32,5d8 + 10,-,13,-,2,11,16,14,10,15,11,-,-,-,-,-,-,30,-,30,-,-,-,M,NE,humanoid,MOT
1624,Tromokratis,409,21d20 + 189,-,22,-,26,30,11,29,22,11,10,-,-,-,+14,+8,-,30,-,80,-,-,-,G,A,monstrosity,MOT
1625,Two-Headed Cerberus,39,6d8 + 12,-,12,-,2,15,14,14,3,13,6,-,-,-,-,-,-,40,-,-,-,-,-,M,LE,monstrosity,MOT
1626,Typhon,195,17d12 + 85,-,17,-,15,24,10,20,7,12,13,-,-,+10,-,-,-,40,-,-,-,-,-,H,CE,monstrosity,MOT
1627,Underworld Cerberus,104,11d10 + 44,-,16,-,6,19,12,18,10,16,9,-,-,-,-,-,-,60,-,-,-,-,-,L,LE,monstrosity,MOT
1628,Winged Bull,95,10d10 + 40,-,12,-,4,20,14,18,6,10,5,-,-,-,-,-,-,60,60,-,-,-,-,L,U,celestial,MOT
1629,Winged Lion,114,12d10 + 48,-,13,-,4,20,16,18,6,14,5,-,-,-,-,-,-,60,60,-,-,-,-,L,U,celestial,MOT
1630,Woe Strider,110,13d10 + 39,-,17,-,7,18,15,16,8,14,14,-,-,-,-,-,-,40,-,-,-,40,-,L,CE,aberration,MOT
1631,Abyssal Wretch,18,4d8,-,11,-,1/4,9,12,11,5,8,5,-,-,-,-,-,-,20,-,-,-,-,-,M,CE,fiend,MTF
1632,Adult Kruthik,39,6d8 + 12,-,18,-,2,15,16,15,7,12,8,-,-,-,-,-,-,40,-,-,20,40,-,M,U,monstrosity,MTF
1633,Adult Oblex,75,10d8 + 30,-,14,-,5,8,19,16,19,12,15,-,-,-,+7,-,+5,20,-,-,-,-,-,M,LE,ooze,MTF
1634,Air Elemental Myrmidon,117,18d8 + 36,-,18,-,7,18,14,14,9,10,10,-,-,-,-,-,-,30,30,-,-,-,True,M,N,elemental,MTF
1635,Alkilith,157,15d8 + 90,-,17,-,11,12,19,22,6,11,7,-,+8,+10,-,-,-,40,-,-,-,-,-,M,CE,fiend,MTF
1636,Allip,40,9d8,-,13,-,5,6,17,10,17,15,16,-,-,-,+6,+5,-,0,40,-,-,-,True,M,LE,undead,MTF
1637,Amnizu,202,27d8 + 81,-,21,-,18,11,13,16,20,12,18,-,+7,+9,-,+7,+10,30,40,-,-,-,-,M,LE,fiend,MTF
1638,Armanite,84,8d10 + 40,-,16,-,7,21,18,21,8,12,13,-,-,-,-,-,-,60,-,-,-,-,-,L,CE,fiend,MTF
1639,Astral Dreadnought,297,17d20 + 119,-,20,-,21,28,7,25,5,14,18,-,+5,-,-,+9,-,15,80,-,-,-,True,G,U,monstrosity,MTF
1640,Autumn Eladrin,127,17d8 + 51,-,19,-,10,12,16,16,14,17,18,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,fey,MTF
1641,Bael,189,18d10 + 90,-,18,-,19,24,17,20,21,24,24,-,+9,+11,+11,-,+13,30,-,-,-,-,-,L,LE,fiend,MTF
1642,Balhannoth,114,12d10 + 48,-,17,-,11,17,8,18,6,15,8,-,-,+8,-,-,-,25,-,-,-,25,-,L,CE,aberration,MTF
1643,Baphomet,275,19d12 + 152,-,22,-,23,30,14,26,18,24,16,-,+9,+15,-,+14,-,40,-,-,-,-,-,H,CE,fiend,MTF
1644,Berbalang,38,11d8 - 11,-,14,-,2,9,16,9,17,11,10,-,+5,-,+5,-,-,30,40,-,-,-,-,M,NE,aberration,MTF
1645,Black Abishai,58,9d8 + 18,-,15,-,7,14,17,14,13,16,11,-,+6,-,-,+6,-,30,40,-,-,-,-,M,LE,fiend,MTF
1646,Blue Abishai,195,26d8 + 78,-,19,-,17,15,14,17,22,23,18,-,-,-,+12,+12,-,30,50,-,-,-,-,M,LE,fiend,MTF
1647,Boneclaw,127,17d10 + 34,-,16,-,12,19,16,15,13,15,9,-,+7,+6,-,+6,-,40,-,-,-,-,-,L,CE,undead,MTF
1648,Bronze Scout,18,4d8,-,13,-,1,10,16,11,3,14,1,-,-,-,-,-,-,30,-,-,30,-,-,M,U,construct,MTF
1649,Bulezau,52,7d8 + 21,-,14,-,3,15,14,17,8,9,6,-,-,-,-,-,-,40,-,-,-,-,-,M,CE,fiend,MTF
1650,Cadaver Collector,189,18d10 + 90,-,17,-,14,21,14,20,5,11,8,-,-,-,-,-,-,30,-,-,-,-,-,L,LE,construct,MTF
1651,Canoloth,120,16d8 + 48,-,16,-,8,18,10,17,5,17,12,-,-,-,-,-,-,50,-,-,-,-,-,M,NE,fiend,MTF
1652,Choker,13,3d6 + 3,-,16,-,1,16,14,13,4,12,7,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,aberration,MTF
1653,Corpse Flower,127,15d10 + 45,-,12,-,8,14,14,16,7,15,3,-,-,-,-,-,-,20,-,-,-,20,-,L,CE,plant,MTF
1654,Deathlock,36,8d8,-,12,-,4,11,15,10,14,12,16,-,-,-,+4,-,+5,30,-,-,-,-,-,M,LE,undead,MTF
1655,Deathlock Mastermind,110,20d8 + 20,-,13,-,8,11,16,12,15,12,17,-,-,-,+5,-,+6,30,-,-,-,-,-,M,LE,undead,MTF
1656,Deathlock Wight,37,5d8 + 15,-,12,-,3,11,14,16,12,14,16,-,-,-,-,+4,-,30,-,-,-,-,-,M,LE,undead,MTF
1657,Demogorgon,406,28d12 + 224,-,22,-,26,29,14,26,20,17,25,-,+10,+16,-,+11,+15,50,-,50,-,-,-,H,CE,fiend,MTF
1658,Derro,13,3d6 + 3,-,13,-,1/4,10,14,12,11,5,9,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,humanoid,MTF
1659,Derro Savant,36,8d6 + 8,-,13,-,3,9,14,12,11,5,14,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,humanoid,MTF
1660,Dhergoloth,119,14d8 + 56,-,15,-,7,17,10,19,7,10,9,+6,-,-,-,-,-,30,-,-,-,-,-,M,NE,fiend,MTF
1661,Dire Troll,172,15d12 + 75,-,15,-,13,22,15,21,9,11,5,-,-,-,-,+5,+2,40,-,-,-,-,-,H,CE,giant,MTF
1662,Drow Arachnomancer,162,25d8 + 50,-,15,-,13,11,17,14,19,14,16,-,-,+7,+9,-,+8,30,-,-,-,30,-,M,CE,humanoid,MTF
1663,Drow Favored Consort,225,30d8 + 90,-,15,-,18,15,20,16,18,15,18,-,+11,+9,-,-,+10,30,-,-,-,-,-,M,NE,humanoid,MTF
1664,Drow House Captain,162,25d8 + 50,-,16,-,9,14,19,15,12,14,13,-,+8,+6,-,+6,-,30,-,-,-,-,-,M,NE,humanoid,MTF
1665,Drow Inquisitor,143,22d8 + 44,-,16,-,14,11,15,14,16,21,20,-,-,+7,-,+10,+10,30,-,-,-,-,-,M,NE,humanoid,MTF
1666,Drow Matron Mother,262,35d8 + 105,-,17,-,20,12,18,16,17,21,22,-,-,+9,-,+11,+12,30,-,-,-,-,-,M,NE,humanoid,MTF
1667,Drow Shadowblade,150,20d8 + 60,-,17,-,11,14,21,16,12,14,13,-,+9,+7,-,+6,-,30,-,-,-,-,-,M,NE,humanoid,MTF
1668,Duergar Despot,119,14d8 + 56,-,21,-,12,20,5,19,15,14,13,-,-,+8,-,+6,-,25,-,-,-,-,-,M,LE,humanoid,MTF
1669,Duergar Hammerer,33,6d8 + 6,-,17,-,2,17,7,12,5,5,5,-,-,-,-,-,-,20,-,-,-,-,-,M,LE,construct,MTF
1670,Duergar Kavalrachni,26,4d8 + 8,-,16,-,2,14,11,14,11,10,9,-,-,-,-,-,-,25,-,-,-,-,-,M,LE,humanoid,MTF
1671,Duergar Mind Master,39,6d8 + 12,-,14,-,2,11,17,14,15,10,12,-,-,-,-,+2,-,25,-,-,-,-,-,M,LE,humanoid,MTF
1672,Duergar Screamer,38,7d8 + 7,-,15,-,3,18,7,12,5,5,5,-,-,-,-,-,-,20,-,-,-,-,-,M,LE,construct,MTF
1673,Duergar Soulblade,18,4d8,-,14,-,1,11,16,10,11,10,12,-,-,-,-,-,-,25,-,-,-,-,-,M,LE,humanoid,MTF
1674,Duergar Stone Guard,39,6d8 + 12,-,18,-,2,18,11,14,11,10,9,-,-,-,-,-,-,25,-,-,-,-,-,M,LE,humanoid,MTF
1675,Duergar Warlord,75,10d8 + 30,-,20,-,6,18,11,17,12,12,14,-,-,-,-,-,-,25,-,-,-,-,-,M,LE,humanoid,MTF
1676,Duergar Xarrorn,26,4d8 + 8,-,18,-,2,16,11,14,11,10,9,-,-,-,-,-,-,25,-,-,-,-,-,M,LE,humanoid,MTF
1677,Dybbuk,37,5d8 + 15,-,14,-,4,6,19,16,16,15,14,-,-,-,-,-,-,0,40,-,-,-,True,M,CE,fiend,MTF
1678,Earth Elemental Myrmidon,127,17d8 + 51,-,18,-,7,18,10,17,8,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,N,elemental,MTF
1679,Eidolon,63,18d8 - 18,-,9,-,12,7,8,9,14,19,16,-,-,-,-,+8,-,0,40,-,-,-,True,M,A,undead,MTF
1680,Elder Oblex,115,10d12 + 50,-,16,-,10,15,16,21,22,13,18,-,-,-,+10,-,+8,20,-,-,-,-,-,H,LE,ooze,MTF
1681,Elder Tempest,264,16d20 + 96,-,19,-,23,23,28,23,2,21,18,-,-,-,-,+12,+11,0,120,-,-,-,True,G,N,elemental,MTF
1682,Female Steeder,30,4d10 + 8,-,14,-,1,15,16,14,2,10,3,-,-,-,-,-,-,30,-,-,-,30,-,L,U,monstrosity,MTF
1683,Fire Elemental Myrmidon,123,19d8 + 38,-,18,-,7,13,18,15,9,10,10,-,-,-,-,-,-,40,-,-,-,-,-,M,N,elemental,MTF
1684,Fraz-Urb'luu,337,27d10 + 189,-,18,-,-,29,12,25,26,24,26,-,+8,+14,+15,+14,-,40,40,-,-,-,-,L,CE,fiend,MTF
1685,Frost Salamander,168,16d12 + 64,-,17,-,9,20,12,18,7,11,7,-,-,+8,-,+4,-,60,-,-,40,40,-,H,U,elemental,MTF
1686,Geryon,300,24d12 + 144,-,19,-,22,29,17,22,19,16,23,-,+10,+13,-,+10,+13,30,50,-,-,-,-,H,LE,fiend,MTF
1687,Giff,60,8d8 + 24,-,16,-,3,18,14,17,11,12,12,-,-,-,-,-,-,30,-,-,-,-,-,M,LN,humanoid,MTF
1688,Githyanki Gish,123,19d8 + 38,-,17,-,10,17,15,14,16,15,16,-,-,+6,+7,+6,-,30,-,-,-,-,-,M,LE,humanoid,MTF
